EE_Dt,C2SP2,ZMIC1,naAromAtom,nBondsD,minssNH,nC,nT6Ring,MLogP,ETA_Eta_F_L,MATS8c,SpAD_Dt,MDEC-23,SHaaCH,minHBint4,Class
462.6545,14.0,67.1725,21.0,12.0,0.0,28.0,5.0,3.77,9.2764,0.1224,925.3089,32.6743,5.8576,0.0,0
501.4645,22.0,102.014,24.0,18.0,0.0,33.0,4.0,4.43,11.7106,-0.0227,1002.929,52.0187,8.0964,0.0,0
660.4769,23.0,104.9729,30.0,18.0,2.7586,33.0,5.0,4.54,11.7772,0.0006,1320.9538,44.7998,10.2237,0.0,0
709.7827,21.0,81.0922,27.0,16.0,2.8933,34.0,5.0,4.21,12.0334,-0.0784,1535.0977,49.4774,8.3557,0.4351,0
709.7827,12.0,93.1709,26.0,15.0,0.0,30.0,8.0,3.88,10.7974,-0.2192,1882.0569,23.4488,2.6552,3.3638,0
627.4138,19.0,80.4228,29.0,18.0,0.0,34.0,4.0,4.1,12.735,-0.0373,1254.8275,44.591,8.5963,0.0,0
709.7827,20.0,102.9325,28.0,20.0,0.0,38.0,7.0,4.98,13.3435,-0.159,1611.6706,65.0939,8.6703,-1.0388,0
709.7827,22.0,78.3934,32.0,17.0,0.0,36.0,6.0,4.43,12.7811,-0.0386,1876.1342,51.1057,7.5079,0.0,0
534.9139,21.0,79.0398,27.0,16.0,2.9908,31.0,5.0,4.21,11.2011,0.1107,1069.8278,36.9243,7.9846,2.6401,0
709.7827,17.0,87.8075,29.0,16.0,0.0,29.0,7.0,4.21,10.3193,0.0064,1727.7241,47.536,7.3914,0.0,0
496.8797,19.0,86.4706,28.0,17.0,0.0,29.0,5.0,3.88,11.2391,0.1389,993.7593,39.6797,9.0653,0.0,0
580.6612,11.0,80.5149,16.0,13.0,0.0,31.0,5.0,3.88,8.7709,-0.0914,1161.3223,34.789,5.1541,0.0,0
709.7827,14.0,67.6092,21.0,14.0,3.6765,33.0,6.0,4.1,10.7535,-0.1112,1572.6589,35.8792,4.9811,2.7206,0
666.9715,14.0,81.0115,27.0,18.0,2.2603,28.0,2.0,3.0,13.2949,-0.2102,1333.943,30.2222,7.2217,3.7806,0
709.7827,17.0,95.7763,31.0,17.0,0.0,31.0,8.0,4.1,12.0383,0.2023,1593.6325,47.975,8.5167,6.3452,0
709.7827,23.0,88.1968,31.0,18.0,0.0,33.0,6.0,4.21,12.5002,-0.0075,1521.6682,51.4783,9.7331,0.0,0
709.7827,20.0,96.734,30.0,19.0,3.1019,31.0,7.0,3.77,12.7853,-0.0196,1538.5209,39.853,8.1064,0.1188,0
505.9351,16.0,69.2386,18.0,13.0,0.0,27.0,6.0,3.77,9.4026,0.1568,1014.0453,36.4379,5.3753,0.0,0
709.7827,18.0,97.2268,28.0,14.0,0.0,36.0,8.0,4.76,10.997,-0.0271,1587.5044,39.6365,7.5808,0.0,0
709.7827,22.0,86.8965,31.0,18.0,0.0,35.0,6.0,4.54,12.6021,-0.0251,1549.938,54.58,9.0977,0.0,0
709.7827,22.0,83.1633,32.0,17.0,0.0,35.0,6.0,4.54,12.2178,-0.0372,1668.817,46.3298,7.9928,0.0,0
709.7827,21.0,83.6155,24.0,16.0,3.0997,37.0,5.0,4.76,11.4054,-0.1029,1494.6145,60.0166,7.6902,0.6538,0
510.3444,17.0,100.4921,24.0,17.0,2.8674,29.0,4.0,3.77,11.3644,-0.3136,1020.6888,36.6323,9.0467,0.0,0
559.118,20.0,86.0119,24.0,16.0,0.0,32.0,6.0,3.99,11.7189,-0.0064,1118.236,40.1784,8.685,0.0,0
709.7827,24.0,91.1544,24.0,17.0,0.0,36.0,6.0,4.43,12.4357,-0.0656,1660.3952,52.249,9.0806,0.0,0
479.7394,17.0,70.9255,21.0,15.0,0.0,28.0,4.0,3.66,10.3025,0.0218,959.4787,30.0382,6.1709,-0.8879,0
442.0719,16.0,79.0348,22.0,15.0,0.0,26.0,5.0,3.66,9.896,-0.0073,884.1437,34.5325,7.9827,0.0,0
709.7827,24.0,117.5779,30.0,21.0,2.726,36.0,7.0,4.54,13.6093,0.0037,1641.8573,51.3093,10.6089,6.007,0
709.7827,20.0,81.5488,24.0,14.0,3.3544,34.0,7.0,4.1,11.4416,0.0928,1831.9586,41.1121,6.8805,1.6598,0
674.2551,19.0,79.543,28.0,16.0,0.0,31.0,6.0,4.32,10.6408,-0.0199,1377.8653,40.4145,7.4356,0.0,0
558.0631,18.0,99.1823,26.0,17.0,0.0,30.0,5.0,4.1,11.0875,-0.0791,1117.6198,43.2379,8.8424,0.0,0
631.0458,21.0,83.7706,22.0,15.0,0.0,31.0,5.0,4.21,10.2701,-0.1064,1265.6063,48.0809,7.4368,0.0,0
610.3316,22.0,92.4109,33.0,17.0,0.0,35.0,6.0,4.43,12.7159,-0.1721,1220.6632,43.3655,9.9273,0.0,0
570.1962,14.0,71.7277,25.0,13.0,0.0,32.0,6.0,4.1,10.2631,-0.0947,1140.3925,38.5752,5.8982,0.0,0
463.0905,13.0,56.7717,21.0,11.0,0.0,28.0,4.0,3.77,8.6383,-0.0995,926.1811,31.647,4.1073,0.0,0
709.7827,14.0,99.1689,26.0,13.0,0.0,40.0,7.0,5.64,9.4875,0.0429,1534.5515,65.256,5.4976,0.0,0
709.7827,21.0,90.734,26.0,20.0,0.0,35.0,7.0,4.54,11.9927,0.0448,1704.7063,57.6723,8.3931,0.0,0
606.5994,19.0,78.2353,24.0,16.0,0.0,30.0,5.0,3.88,10.6673,0.0739,1223.1234,42.4795,8.1653,0.0,0
525.3201,17.0,72.0175,22.0,16.0,0.0,28.0,5.0,3.66,9.7979,-0.1577,1051.2471,30.0905,6.8217,0.0,0
605.2034,10.0,68.3533,28.0,12.0,0.0,30.0,2.0,4.1,9.4619,0.0635,1210.4068,39.5589,5.6618,0.0,0
556.1438,16.0,68.0897,24.0,13.0,0.0,33.0,4.0,4.21,10.555,0.0981,1112.2876,44.5792,6.2807,0.0,0
502.3382,15.0,65.7258,23.0,13.0,2.8884,27.0,5.0,3.44,10.1244,-0.0535,1005.2966,30.4957,6.1855,0.0,0
498.0705,15.0,67.7018,24.0,13.0,0.0,33.0,4.0,4.32,10.2044,0.0728,996.1411,43.1223,6.2508,0.0,0
601.1752,20.0,86.0127,31.0,17.0,0.0,33.0,6.0,4.1,11.7857,-0.1729,1202.3505,36.9645,8.3093,0.0,0
653.5338,20.0,85.5476,31.0,16.0,3.1632,35.0,5.0,4.43,12.1064,-0.2019,1307.0675,41.3221,8.2884,0.0,0
532.9316,21.0,86.3725,29.0,17.0,0.0,32.0,4.0,4.21,11.6238,-0.1056,1065.8632,42.0664,9.5558,0.0,0
478.2387,16.0,60.9192,21.0,12.0,0.0,28.0,4.0,3.88,8.8967,-0.0553,957.0864,30.9405,4.949,0.0,0
709.7827,21.0,84.0299,25.0,16.0,0.0,31.0,5.0,3.99,11.1987,-0.0132,1426.5735,45.2616,7.9232,0.0,0
513.9022,16.0,73.0069,24.0,13.0,0.0,34.0,4.0,4.43,10.516,-0.1297,1027.8044,42.7042,6.7726,0.0,0
709.7827,21.0,94.3403,28.0,17.0,2.961,35.0,8.0,4.76,11.3357,-0.1963,1466.7719,53.6621,9.3808,0.0,0
585.1531,16.0,69.8985,27.0,15.0,0.0,32.0,4.0,3.77,11.8735,-0.2301,1170.3063,38.8355,6.8511,0.0,0
498.0705,16.0,67.1066,24.0,13.0,0.0,32.0,4.0,4.1,10.3162,-0.0207,996.1411,43.1223,6.2709,0.0,0
539.0889,13.0,69.075,25.0,14.0,0.0,29.0,5.0,3.66,9.9775,-0.0439,1078.7978,29.7847,4.8699,0.0,0
518.564,13.0,70.406,24.0,13.0,0.0,35.0,4.0,4.65,10.0466,-0.0486,1037.1279,43.0391,5.3259,0.0,0
656.1874,20.0,88.8411,30.0,18.0,2.7948,30.0,5.0,3.66,12.7999,-0.1457,1314.0245,35.7706,9.1669,0.4692,0
522.2542,16.0,89.32,26.0,15.0,0.0,32.0,5.0,4.76,9.3947,-0.031,1044.5084,52.6379,6.7861,0.0,0
480.047,18.0,110.5094,39.0,18.0,0.0,30.0,4.0,3.77,12.8763,-0.1144,960.094,36.3919,10.3654,0.0,0
709.7827,23.0,94.9828,30.0,17.0,2.941,33.0,7.0,4.32,12.0832,-0.0129,1444.941,45.9384,10.427,1.2795,0
546.1035,27.0,110.7033,42.0,21.0,0.0,35.0,7.0,4.54,13.7387,-0.117,1092.207,46.1793,12.375,0.0,0
709.7827,23.0,85.06,31.0,18.0,0.0,34.0,6.0,4.21,12.9849,-0.0265,1587.3842,52.9091,9.497,0.0,0
525.4667,17.0,72.0175,22.0,16.0,0.0,28.0,5.0,3.66,9.7983,-0.1466,1051.5407,30.0905,6.8318,0.0,0
595.1632,20.0,93.8262,33.0,17.0,0.0,37.0,6.0,4.76,12.5302,-0.1378,1190.3265,46.1239,9.6367,0.0,0
648.8078,16.0,75.2317,18.0,15.0,0.0,34.0,4.0,4.1,10.9108,0.0409,1297.6157,44.0116,6.1982,0.0,0
460.0529,23.0,88.8733,31.0,16.0,3.0966,31.0,5.0,4.43,10.908,0.1889,921.8031,40.3758,9.8529,0.0,0
587.3673,14.0,90.8599,24.0,18.0,0.0,34.0,4.0,4.21,12.1379,0.0084,1176.3045,41.9214,6.6776,0.0,0
488.4678,13.0,66.8691,16.0,12.0,2.7934,28.0,4.0,3.55,9.276,-0.0401,976.9355,28.7875,5.4607,0.0,0
433.884,18.0,64.0009,18.0,15.0,2.603,25.0,4.0,2.89,10.4287,0.2813,867.7681,28.782,6.7584,6.1917,0
612.1996,19.0,83.2541,31.0,16.0,0.0,34.0,6.0,4.32,12.0354,-0.1707,1224.3993,42.5724,8.3062,0.0,0
709.7827,22.0,84.7679,32.0,17.0,0.0,36.0,6.0,4.65,12.1594,-0.0733,1712.2192,49.1622,7.9492,0.0,0
506.6906,14.0,69.0428,25.0,12.0,0.0,30.0,5.0,4.1,9.5024,-0.046,1013.3811,32.8945,4.829,0.0,0
602.9631,18.0,90.6019,24.0,18.0,0.0,30.0,6.0,3.77,12.0575,-0.1191,1205.9262,39.8284,9.2747,0.0,0
377.7718,12.0,63.9226,21.0,11.0,0.0,24.0,4.0,3.11,9.1096,-0.0931,755.5437,26.0063,6.5406,0.0,0
641.3125,22.0,85.8371,26.0,18.0,3.3745,34.0,7.0,4.32,12.3511,0.1726,1282.625,40.3072,7.7653,4.8597,1
651.6972,17.0,87.2865,24.0,17.0,2.9523,34.0,6.0,4.32,11.818,-0.069,1303.3945,41.2676,7.7526,0.0,1
603.2457,17.0,85.878,29.0,16.0,2.6663,31.0,5.0,4.32,10.6863,0.1326,1210.4047,42.4377,7.346,0.0,1
709.7827,20.0,88.2484,26.0,17.0,0.0,28.0,7.0,3.66,10.9225,-0.0361,1864.1829,34.563,5.6696,0.0,1
709.7827,18.0,75.5408,24.0,15.0,3.2585,34.0,5.0,4.1,13.1909,0.1231,1633.9653,40.833,6.4758,0.568,1
471.9367,20.0,74.5303,27.0,15.0,3.1837,29.0,5.0,4.1,10.2976,-0.0582,943.8735,35.4194,8.2152,0.0,1
668.1421,20.0,79.7186,28.0,17.0,0.0,28.0,5.0,3.44,11.7656,0.0097,1340.0454,34.9148,6.8169,0.0,1
538.6856,17.0,92.0145,24.0,17.0,0.0,33.0,4.0,4.32,12.5016,0.0597,1077.3711,44.1374,8.6164,0.0,1
709.7827,20.0,100.2605,30.0,19.0,0.0,34.0,0.0,4.54,12.2866,-0.1877,2554.8354,56.1006,0.0,0.0,1
612.3452,18.0,83.2712,25.0,17.0,0.0,31.0,5.0,3.99,11.4613,-0.0845,1224.6905,40.9457,7.6534,-0.7216,1
648.8078,18.0,76.431,18.0,15.0,0.0,32.0,4.0,3.66,11.3385,0.0624,1297.6157,44.0116,7.3586,0.0,1
709.7827,22.0,77.52,32.0,17.0,0.0,34.0,6.0,4.21,12.783,-0.0418,1789.8768,48.4779,7.6017,0.0,1
615.4196,18.0,85.8917,26.0,12.0,0.0,31.0,6.0,4.21,10.0149,-0.1437,1230.8392,37.5298,7.4909,0.0,1
709.7827,23.0,120.6415,32.0,21.0,0.0,37.0,6.0,4.76,13.5354,0.1216,1431.2722,54.8677,11.2882,0.0,1
709.7827,22.0,77.559,32.0,17.0,0.0,35.0,6.0,4.32,12.8395,-0.0264,1831.9297,47.9243,7.5491,0.0,1
570.979,16.0,84.7306,26.0,15.0,3.0722,32.0,5.0,4.54,10.0348,-0.0498,1141.9579,46.8619,6.9355,0.0,1
709.7827,18.0,82.8103,25.0,14.0,0.0,36.0,7.0,4.76,10.7468,0.0065,1579.3356,52.8794,7.2138,0.0,1
688.4739,19.0,94.9663,28.0,18.0,3.3455,35.0,7.0,4.54,12.2126,-0.0515,1376.9479,48.9986,8.1846,0.3635,1
608.4065,17.0,86.3459,25.0,16.0,0.0,29.0,6.0,3.99,10.643,0.1491,1221.1756,40.1328,6.8031,0.0,1
709.7827,20.0,87.3684,35.0,17.0,0.0,33.0,7.0,4.43,12.0675,0.0149,1627.4416,46.6635,9.8412,0.0,1
607.2036,20.0,88.644,24.0,16.0,3.121,28.0,6.0,3.77,10.6798,-0.1572,1222.7986,39.6079,6.8892,4.7859,1
546.7989,21.0,96.4364,24.0,17.0,2.8748,31.0,6.0,4.21,11.3406,-0.0069,1093.5978,42.695,9.0201,0.0,1
593.8166,20.0,100.7245,30.0,19.0,2.5329,31.0,7.0,3.55,13.3216,-0.0116,1187.6332,39.0073,10.4899,0.0,1
700.4101,21.0,85.6763,22.0,16.0,2.8368,31.0,5.0,3.88,11.4693,0.0741,1404.3354,46.4822,8.2241,0.0,1
527.6726,14.0,64.2774,23.0,13.0,2.7628,28.0,5.0,3.55,10.1961,-0.0007,1055.9654,31.0455,5.5507,0.0,1
709.7827,21.0,80.3235,27.0,16.0,2.9321,33.0,5.0,4.1,12.0088,-0.0988,1474.7562,48.9891,8.5383,0.4261,1
563.0044,22.0,89.3683,24.0,17.0,0.0,34.0,6.0,4.54,11.1154,-0.1659,1126.0087,38.6603,7.8619,0.0,1
468.8013,15.0,72.3704,22.0,14.0,3.0293,28.0,5.0,3.88,9.0201,-0.2203,937.6026,34.6939,6.3094,0.0,1
703.0913,19.0,79.8533,36.0,17.0,0.0,32.0,6.0,4.1,12.3781,0.0312,1409.2412,42.2191,9.1686,0.0,1
646.9232,15.0,78.3992,18.0,15.0,0.0,35.0,4.0,4.32,10.6969,0.0201,1293.8465,44.2499,5.6808,0.0,1
501.6018,15.0,69.2522,24.0,13.0,0.0,33.0,4.0,4.32,10.6087,-0.0433,1003.2035,44.0546,6.7337,0.0,1
562.558,18.0,76.3703,27.0,16.0,3.0446,31.0,5.0,4.1,11.271,0.1676,1125.116,36.4437,7.2119,2.6048,1
621.8956,20.0,93.4128,26.0,19.0,2.6777,28.0,5.0,3.22,11.6566,-0.1555,1243.7912,34.8701,8.0425,0.0,1
480.3153,16.0,70.1418,24.0,13.0,0.0,32.0,4.0,4.21,10.0468,-0.0476,960.6306,42.7042,6.3728,0.0,1
587.4154,16.0,69.0167,24.0,13.0,0.0,34.0,5.0,4.32,10.5881,0.0346,1174.8307,45.6774,6.3105,0.0,1
558.2802,17.0,71.7532,18.0,12.0,2.9474,32.0,5.0,4.32,8.726,-0.0964,1118.728,41.1182,6.0294,0.0,1
449.423,16.0,76.1808,22.0,14.0,3.059,28.0,5.0,4.1,9.288,0.235,898.846,39.1519,6.7857,0.0,1
580.6057,16.0,82.7035,29.0,16.0,3.0398,30.0,4.0,4.21,10.5976,-0.0553,1161.2114,41.2295,7.3518,0.0,1
610.3378,18.0,94.1851,24.0,16.0,0.0,28.0,6.0,3.66,10.9075,0.0363,1229.07,35.223,6.2185,4.1273,1
709.7827,23.0,88.1968,31.0,18.0,0.0,33.0,6.0,4.21,12.5002,-0.0563,1512.3738,51.6137,9.711,0.0,1
697.0568,23.0,89.1224,31.0,17.0,0.0,33.0,6.0,4.54,11.4862,-0.0332,1398.4149,50.1421,9.4801,0.0,1
591.1294,19.0,86.4571,31.0,16.0,0.0,34.0,6.0,4.43,11.765,-0.1524,1182.2587,40.8166,8.2921,0.0,1
589.6084,13.0,69.7272,25.0,13.0,3.0346,30.0,5.0,3.55,10.7332,-0.0073,1179.2168,33.3718,6.218,0.0,1
709.7827,19.0,83.7484,27.0,16.0,2.9542,35.0,5.0,4.54,11.6825,-0.0699,1474.7562,48.9891,7.9085,0.4421,1
605.9129,21.0,84.5168,35.0,18.0,0.0,32.0,4.0,3.88,13.1331,-0.0798,1211.8257,38.8164,8.4291,0.0,1
709.7827,21.0,81.4292,27.0,16.0,2.7963,33.0,5.0,4.1,12.1102,-0.0893,1474.7562,48.9891,9.1601,0.4387,1
709.7827,18.0,71.9281,25.0,14.0,0.0,31.0,6.0,3.99,10.8489,0.1799,1427.5653,38.5495,7.3652,0.0,1
450.8236,14.0,62.3525,25.0,14.0,3.418,26.0,4.0,3.44,9.2177,0.0106,902.2672,25.2882,5.5915,0.0,1
504.501,22.0,87.7104,27.0,16.0,0.0,33.0,5.0,4.21,11.3844,-0.1396,1009.0021,37.5447,8.5003,0.0,1
549.6578,13.0,70.9695,25.0,13.0,0.0,31.0,4.0,3.99,9.9783,-0.1473,1099.3155,38.87,5.9163,0.0,1
709.7827,22.0,84.6357,32.0,17.0,2.9777,34.0,6.0,4.43,12.3446,0.2331,1734.258,46.2385,8.6685,0.0,1
670.8307,21.0,80.5998,27.0,16.0,0.0,32.0,5.0,4.21,11.5965,0.1774,1345.7411,41.6328,8.7015,0.0,1
512.5189,22.0,80.6937,27.0,16.0,2.9762,30.0,5.0,4.1,11.1291,0.1509,1025.0378,37.0979,8.589,2.6637,1
709.7827,24.0,117.5779,30.0,21.0,2.7313,36.0,7.0,4.54,13.5783,0.1683,1634.6086,50.9941,10.6714,0.0,1
339.6493,9.0,48.1534,9.0,7.0,3.2553,23.0,2.0,3.11,6.2557,-0.1423,679.2986,23.6094,1.9269,3.1292,0
145.1079,5.0,29.6465,14.0,7.0,2.5747,11.0,1.0,1.9,5.7926,0.1818,290.2158,7.8612,3.0164,7.2662,0
399.677,19.0,64.3236,26.0,14.0,2.6842,25.0,3.0,3.22,10.4908,-0.3519,799.354,25.1747,6.8165,0.7832,0
450.4271,16.0,63.2777,21.0,13.0,2.6918,28.0,4.0,3.55,10.3769,0.0373,900.8542,31.9875,6.6412,4.5071,0
211.4626,8.0,43.3102,16.0,8.0,0.0,13.0,3.0,2.45,5.4334,-0.5662,422.9251,14.9505,3.0908,0.0,0
211.4626,8.0,42.7834,16.0,8.0,0.0,13.0,3.0,2.45,5.4165,-0.3943,422.9251,14.9505,3.0331,0.0,0
560.931,14.0,61.4818,17.0,14.0,2.9987,28.0,4.0,3.33,10.1149,0.112,1121.8621,22.5401,4.8115,-0.6114,0
468.4177,16.0,65.9592,22.0,14.0,2.7089,26.0,5.0,3.44,9.7633,0.1272,936.8355,32.9063,6.1926,2.6176,0
455.7853,13.0,55.5103,15.0,11.0,2.707,26.0,4.0,3.44,8.1049,0.0024,911.5707,24.5944,4.3322,0.0,0
531.0535,14.0,64.4288,12.0,14.0,2.529,27.0,5.0,3.11,9.6667,0.0033,1062.1069,32.6125,4.6415,0.0,0
490.4385,13.0,62.9585,12.0,12.0,2.6194,26.0,5.0,3.11,8.6969,0.1048,980.8769,30.8363,4.7565,0.0,0
452.9079,13.0,59.1404,17.0,14.0,2.6357,24.0,3.0,2.78,10.7791,-0.0479,905.8157,24.1006,4.9905,0.0,0
487.5745,10.0,54.3476,12.0,10.0,0.0,23.0,5.0,2.56,9.006,-0.1396,977.4094,25.2822,4.7347,6.1067,0
427.9818,11.0,57.0749,17.0,10.0,3.1259,28.0,4.0,3.55,8.3664,0.0699,855.9635,34.2818,3.4487,0.8723,0
458.6135,11.0,59.0789,17.0,11.0,3.1036,28.0,4.0,3.33,9.1399,0.0098,917.227,34.2818,3.702,0.8642,0
442.7348,8.0,55.6092,16.0,10.0,3.0987,28.0,4.0,3.44,8.5029,-0.0813,885.4697,33.4578,3.2565,0.8465,0
474.646,12.0,58.6329,17.0,11.0,3.0661,28.0,4.0,3.22,9.5851,0.0328,949.2921,33.863,3.9776,0.9,0
413.4518,13.0,64.5822,17.0,12.0,0.0,28.0,4.0,3.66,9.2109,0.0443,826.9037,27.3803,3.9723,0.0,0
351.2724,9.0,54.6927,15.0,10.0,0.0,25.0,3.0,3.55,6.991,0.0102,702.5447,18.6832,2.7115,2.5088,0
429.922,12.0,55.6827,12.0,9.0,3.6968,24.0,4.0,3.33,7.3692,0.0438,859.8441,31.9002,3.1693,0.0,0
501.9389,6.0,55.0611,6.0,11.0,2.1192,25.0,4.0,2.89,8.8841,-0.107,1004.4915,24.2566,1.6134,0.3447,0
489.77,16.0,59.5056,18.0,12.0,2.9356,26.0,4.0,3.44,9.277,0.1171,979.5399,31.283,5.7439,0.0,0
522.6218,18.0,66.5418,22.0,14.0,3.356,28.0,6.0,3.66,9.7649,-0.1151,1045.2436,37.4368,5.8037,4.4957,0
227.5548,6.0,32.895,14.0,5.0,0.0,14.0,2.0,2.56,4.8284,-0.3946,457.0674,11.8619,0.8693,1.7019,0
395.0823,16.0,61.2908,21.0,13.0,0.0,28.0,3.0,3.66,9.6756,0.004,790.1646,31.588,5.1185,4.1968,0
379.1631,18.0,60.5466,21.0,13.0,0.0,26.0,3.0,3.33,9.8333,-0.0437,758.3263,32.9174,6.205,4.5388,0
395.0823,16.0,60.4932,21.0,13.0,0.0,28.0,3.0,3.66,9.777,-0.0039,790.1646,31.588,5.7096,4.4906,0
153.3783,7.0,43.9683,15.0,8.0,2.6348,13.0,2.0,2.34,5.8606,0.0372,306.7565,13.6305,4.3412,7.1066,0
406.1626,18.0,74.6031,22.0,14.0,2.6996,26.0,4.0,3.66,9.7326,-0.0259,812.3251,33.1806,7.9297,2.8914,0
500.1328,16.0,67.2579,23.0,13.0,2.753,25.0,3.0,3.22,9.4958,-0.0244,1008.2376,28.357,6.1023,0.0,0
529.2715,16.0,65.5071,18.0,14.0,2.6635,27.0,4.0,3.33,10.6021,-0.1412,1059.1609,26.4286,6.2649,0.0,1
119.334,5.0,35.686,10.0,5.0,0.0,11.0,2.0,2.12,4.2636,2.9435,238.668,9.8829,2.6854,0.0,1
